source,target,edge_type,gang_id,active_from,active_to,fragment_event_date
OFF00088,OFF00635,co_offending,GANG002,2025-01-28,2025-04-22,2025-04-22
OFF00312,OFF00455,co_offending,GANG002,2025-01-28,2025-04-22,2025-04-22
OFF00312,OFF00385,co_offending,GANG002,2025-01-28,2025-06-01,
OFF00312,OFF00169,co_offending,GANG002,2025-01-28,2025-06-01,
OFF00312,OFF00635,co_offending,GANG002,2025-01-28,2025-04-22,2025-04-22
OFF00455,OFF00385,co_offending,GANG002,2025-01-28,2025-04-22,2025-04-22
OFF00455,OFF00169,co_offending,GANG002,2025-01-28,2025-04-22,2025-04-22
OFF00455,OFF00635,co_offending,GANG002,2025-01-28,2025-06-01,
OFF00385,OFF00169,co_offending,GANG002,2025-01-28,2025-06-01,
OFF00385,OFF00635,co_offending,GANG002,2025-01-28,2025-04-22,2025-04-22
OFF00169,OFF00635,co_offending,GANG002,2025-01-28,2025-04-22,2025-04-22
OFF00128,OFF00508,co_offending,GANG003,2023-06-07,2023-07-27,2023-07-27
OFF00128,OFF00392,co_offending,GANG003,2023-06-07,2023-07-27,2023-07-27
OFF00128,OFF00002,co_offending,GANG003,2023-06-07,2023-07-27,2023-07-27
OFF00128,OFF00200,co_offending,GANG003,2023-06-07,2023-07-27,2023-07-27
OFF00128,OFF00406,co_offending,GANG003,2023-06-07,2023-08-18,
OFF00128,OFF00099,co_offending,GANG003,2023-06-07,2023-07-27,2023-07-27
OFF00508,OFF00392,co_offending,GANG003,2023-06-07,2023-08-18,
OFF00508,OFF00002,co_offending,GANG003,2023-06-07,2023-08-18,
OFF00508,OFF00200,co_offending,GANG003,2023-06-07,2023-08-18,
OFF00508,OFF00406,co_offending,GANG003,2023-06-07,2023-07-27,2023-07-27
OFF00508,OFF00099,co_offending,GANG003,2023-06-07,2023-08-18,
OFF00392,OFF00002,co_offending,GANG003,2023-06-07,2023-08-18,
OFF00392,OFF00200,co_offending,GANG003,2023-06-07,2023-08-18,
OFF00392,OFF00406,co_offending,GANG003,2023-06-07,2023-07-27,2023-07-27
OFF00392,OFF00099,co_offending,GANG003,2023-06-07,2023-08-18,
OFF00002,OFF00200,co_offending,GANG003,2023-06-07,2023-08-18,
OFF00002,OFF00406,co_offending,GANG003,2023-06-07,2023-07-27,2023-07-27
OFF00002,OFF00099,co_offending,GANG003,2023-06-07,2023-08-18,
OFF00200,OFF00406,co_offending,GANG003,2023-06-07,2023-07-27,2023-07-27
OFF00200,OFF00099,co_offending,GANG003,2023-06-07,2023-08-18,
OFF00406,OFF00099,co_offending,GANG003,2023-06-07,2023-07-27,2023-07-27
OFF00098,OFF00160,co_offending,GANG004,2023-11-12,2024-04-12,
OFF00098,OFF00439,co_offending,GANG004,2023-11-12,2024-04-12,
OFF00098,OFF00143,co_offending,GANG004,2023-11-12,2023-12-31,2023-12-31
OFF00098,OFF00336,co_offending,GANG004,2023-11-12,2024-04-12,
OFF00098,OFF00516,co_offending,GANG004,2023-11-12,2024-04-12,
OFF00160,OFF00439,co_offending,GANG004,2023-11-12,2024-04-12,
OFF00160,OFF00143,co_offending,GANG004,2023-11-12,2023-12-31,2023-12-31
OFF00160,OFF00336,co_offending,GANG004,2023-11-12,2024-04-12,
OFF00160,OFF00516,co_offending,GANG004,2023-11-12,2024-04-12,
OFF00439,OFF00143,co_offending,GANG004,2023-11-12,2023-12-31,2023-12-31
OFF00439,OFF00336,co_offending,GANG004,2023-11-12,2024-04-12,
OFF00439,OFF00516,co_offending,GANG004,2023-11-12,2024-04-12,
OFF00143,OFF00336,co_offending,GANG004,2023-11-12,2023-12-31,2023-12-31
OFF00143,OFF00516,co_offending,GANG004,2023-11-12,2023-12-31,2023-12-31
OFF00336,OFF00516,co_offending,GANG004,2023-11-12,2024-04-12,
OFF00347,OFF00619,co_offending,GANG005,2023-11-24,2024-07-06,
OFF00347,OFF00517,co_offending,GANG005,2023-11-24,2024-07-06,
OFF00619,OFF00517,co_offending,GANG005,2023-11-24,2024-07-06,
OFF00051,OFF00401,co_offending,GANG006,2024-02-11,2024-03-18,2024-03-18
OFF00051,OFF00167,co_offending,GANG006,2024-02-11,2024-03-18,2024-03-18
OFF00051,OFF00400,co_offending,GANG006,2024-02-11,2024-03-18,2024-03-18
OFF00051,OFF00052,co_offending,GANG006,2024-02-11,2024-03-18,2024-03-18
OFF00051,OFF00282,co_offending,GANG006,2024-02-11,2024-05-30,
OFF00051,OFF00301,co_offending,GANG006,2024-02-11,2024-03-18,2024-03-18
OFF00051,OFF00280,co_offending,GANG006,2024-02-11,2024-03-18,2024-03-18
OFF00401,OFF00167,co_offending,GANG006,2024-02-11,2024-05-30,
OFF00401,OFF00400,co_offending,GANG006,2024-02-11,2024-05-30,
OFF00401,OFF00052,co_offending,GANG006,2024-02-11,2024-05-30,
OFF00401,OFF00282,co_offending,GANG006,2024-02-11,2024-03-18,2024-03-18
OFF00401,OFF00301,co_offending,GANG006,2024-02-11,2024-05-30,
OFF00401,OFF00280,co_offending,GANG006,2024-02-11,2024-05-30,
OFF00167,OFF00400,co_offending,GANG006,2024-02-11,2024-05-30,
OFF00167,OFF00052,co_offending,GANG006,2024-02-11,2024-05-30,
OFF00167,OFF00282,co_offending,GANG006,2024-02-11,2024-03-18,2024-03-18
OFF00167,OFF00301,co_offending,GANG006,2024-02-11,2024-05-30,
OFF00167,OFF00280,co_offending,GANG006,2024-02-11,2024-05-30,
OFF00400,OFF00052,co_offending,GANG006,2024-02-11,2024-05-30,
OFF00400,OFF00282,co_offending,GANG006,2024-02-11,2024-03-18,2024-03-18
OFF00400,OFF00301,co_offending,GANG006,2024-02-11,2024-05-30,
OFF00400,OFF00280,co_offending,GANG006,2024-02-11,2024-05-30,
OFF00052,OFF00282,co_offending,GANG006,2024-02-11,2024-03-18,2024-03-18
OFF00052,OFF00301,co_offending,GANG006,2024-02-11,2024-05-30,
OFF00052,OFF00280,co_offending,GANG006,2024-02-11,2024-05-30,
OFF00282,OFF00301,co_offending,GANG006,2024-02-11,2024-03-18,2024-03-18
OFF00282,OFF00280,co_offending,GANG006,2024-02-11,2024-03-18,2024-03-18
OFF00301,OFF00280,co_offending,GANG006,2024-02-11,2024-05-30,
OFF00317,OFF00482,co_offending,GANG007,2023-09-28,2024-02-04,
OFF00317,OFF00035,co_offending,GANG007,2023-09-28,2024-02-04,
OFF00317,OFF00458,co_offending,GANG007,2023-09-28,2024-02-04,
OFF00482,OFF00035,co_offending,GANG007,2023-09-28,2024-02-04,
OFF00482,OFF00458,co_offending,GANG007,2023-09-28,2024-02-04,
OFF00035,OFF00458,co_offending,GANG007,2023-09-28,2024-02-04,
OFF00263,OFF00629,co_offending,GANG008,2023-10-02,2024-06-06,
OFF00263,OFF00285,co_offending,GANG008,2023-10-02,2024-06-06,
OFF00263,OFF00012,co_offending,GANG008,2023-10-02,2024-06-06,
OFF00629,OFF00285,co_offending,GANG008,2023-10-02,2024-06-06,
OFF00629,OFF00012,co_offending,GANG008,2023-10-02,2024-06-06,
OFF00285,OFF00012,co_offending,GANG008,2023-10-02,2024-06-06,
OFF00602,OFF00088,co_offending,GANG009,2025-05-03,2025-12-20,
OFF00602,OFF00005,co_offending,GANG009,2025-05-03,2025-09-14,2025-09-14
OFF00602,OFF00012,co_offending,GANG009,2025-05-03,2025-12-20,
OFF00602,OFF00325,co_offending,GANG009,2025-05-03,2025-12-20,
OFF00088,OFF00005,co_offending,GANG009,2025-05-03,2025-09-14,2025-09-14
OFF00088,OFF00012,co_offending,GANG009,2025-05-03,2025-12-20,
OFF00088,OFF00325,co_offending,GANG009,2025-05-03,2025-12-20,
OFF00005,OFF00012,co_offending,GANG009,2025-05-03,2025-09-14,2025-09-14
OFF00005,OFF00325,co_offending,GANG009,2025-05-03,2025-09-14,2025-09-14
OFF00012,OFF00325,co_offending,GANG009,2025-05-03,2025-12-20,
OFF00479,OFF00036,co_offending,GANG010,2023-06-07,2023-11-10,
OFF00479,OFF00216,co_offending,GANG010,2023-06-07,2023-11-10,
OFF00036,OFF00216,co_offending,GANG010,2023-06-07,2023-11-10,
OFF00554,OFF00282,co_offending,GANG011,2024-05-19,2025-02-04,
OFF00554,OFF00202,co_offending,GANG011,2024-05-19,2025-02-04,
OFF00554,OFF00211,co_offending,GANG011,2024-05-19,2024-11-03,2024-11-03
OFF00554,OFF00437,co_offending,GANG011,2024-05-19,2024-11-03,2024-11-03
OFF00554,OFF00175,co_offending,GANG011,2024-05-19,2025-02-04,
OFF00554,OFF00344,co_offending,GANG011,2024-05-19,2025-02-04,
OFF00282,OFF00202,co_offending,GANG011,2024-05-19,2025-02-04,
OFF00282,OFF00211,co_offending,GANG011,2024-05-19,2024-11-03,2024-11-03
OFF00282,OFF00437,co_offending,GANG011,2024-05-19,2024-11-03,2024-11-03
OFF00282,OFF00175,co_offending,GANG011,2024-05-19,2025-02-04,
OFF00282,OFF00344,co_offending,GANG011,2024-05-19,2025-02-04,
OFF00202,OFF00211,co_offending,GANG011,2024-05-19,2024-11-03,2024-11-03
OFF00202,OFF00437,co_offending,GANG011,2024-05-19,2024-11-03,2024-11-03
OFF00202,OFF00175,co_offending,GANG011,2024-05-19,2025-02-04,
OFF00202,OFF00344,co_offending,GANG011,2024-05-19,2025-02-04,
OFF00211,OFF00437,co_offending,GANG011,2024-05-19,2025-02-04,
OFF00211,OFF00175,co_offending,GANG011,2024-05-19,2024-11-03,2024-11-03
OFF00211,OFF00344,co_offending,GANG011,2024-05-19,2024-11-03,2024-11-03
OFF00437,OFF00175,co_offending,GANG011,2024-05-19,2024-11-03,2024-11-03
OFF00437,OFF00344,co_offending,GANG011,2024-05-19,2024-11-03,2024-11-03
OFF00175,OFF00344,co_offending,GANG011,2024-05-19,2025-02-04,
OFF00409,OFF00143,co_offending,GANG012,2024-07-06,2024-10-23,
OFF00409,OFF00304,co_offending,GANG012,2024-07-06,2024-10-23,
OFF00409,OFF00200,co_offending,GANG012,2024-07-06,2024-10-23,
OFF00409,OFF00198,co_offending,GANG012,2024-07-06,2024-10-23,
OFF00409,OFF00158,co_offending,GANG012,2024-07-06,2024-10-23,
OFF00409,OFF00575,co_offending,GANG012,2024-07-06,2024-10-23,
OFF00143,OFF00304,co_offending,GANG012,2024-07-06,2024-10-23,
OFF00143,OFF00200,co_offending,GANG012,2024-07-06,2024-10-23,
OFF00143,OFF00198,co_offending,GANG012,2024-07-06,2024-10-23,
OFF00143,OFF00158,co_offending,GANG012,2024-07-06,2024-10-23,
OFF00143,OFF00575,co_offending,GANG012,2024-07-06,2024-10-23,
OFF00304,OFF00200,co_offending,GANG012,2024-07-06,2024-10-23,
OFF00304,OFF00198,co_offending,GANG012,2024-07-06,2024-10-23,
OFF00304,OFF00158,co_offending,GANG012,2024-07-06,2024-10-23,
OFF00304,OFF00575,co_offending,GANG012,2024-07-06,2024-10-23,
OFF00200,OFF00198,co_offending,GANG012,2024-07-06,2024-10-23,
OFF00200,OFF00158,co_offending,GANG012,2024-07-06,2024-10-23,
OFF00200,OFF00575,co_offending,GANG012,2024-07-06,2024-10-23,
OFF00198,OFF00158,co_offending,GANG012,2024-07-06,2024-10-23,
OFF00198,OFF00575,co_offending,GANG012,2024-07-06,2024-10-23,
OFF00158,OFF00575,co_offending,GANG012,2024-07-06,2024-10-23,
OFF00574,OFF00176,co_offending,GANG013,2025-02-15,2025-03-19,2025-03-19
OFF00574,OFF00547,co_offending,GANG013,2025-02-15,2025-03-19,2025-03-19
OFF00574,OFF00356,co_offending,GANG013,2025-02-15,2025-03-19,2025-03-19
OFF00574,OFF00170,co_offending,GANG013,2025-02-15,2025-03-19,2025-03-19
OFF00574,OFF00350,co_offending,GANG013,2025-02-15,2025-03-19,2025-03-19
OFF00574,OFF00026,co_offending,GANG013,2025-02-15,2025-03-19,2025-03-19
OFF00176,OFF00547,co_offending,GANG013,2025-02-15,2025-05-09,
OFF00176,OFF00356,co_offending,GANG013,2025-02-15,2025-05-09,
OFF00176,OFF00170,co_offending,GANG013,2025-02-15,2025-05-09,
OFF00176,OFF00350,co_offending,GANG013,2025-02-15,2025-05-09,
OFF00176,OFF00026,co_offending,GANG013,2025-02-15,2025-05-09,
OFF00547,OFF00356,co_offending,GANG013,2025-02-15,2025-05-09,
OFF00547,OFF00170,co_offending,GANG013,2025-02-15,2025-05-09,
OFF00547,OFF00350,co_offending,GANG013,2025-02-15,2025-05-09,
OFF00547,OFF00026,co_offending,GANG013,2025-02-15,2025-05-09,
OFF00356,OFF00170,co_offending,GANG013,2025-02-15,2025-05-09,
OFF00356,OFF00350,co_offending,GANG013,2025-02-15,2025-05-09,
OFF00356,OFF00026,co_offending,GANG013,2025-02-15,2025-05-09,
OFF00170,OFF00350,co_offending,GANG013,2025-02-15,2025-05-09,
OFF00170,OFF00026,co_offending,GANG013,2025-02-15,2025-05-09,
OFF00350,OFF00026,co_offending,GANG013,2025-02-15,2025-05-09,
OFF00062,OFF00272,co_offending,GANG014,2023-05-17,2023-08-13,2023-08-13
OFF00062,OFF00430,co_offending,GANG014,2023-05-17,2023-08-13,2023-08-13
OFF00062,OFF00166,co_offending,GANG014,2023-05-17,2023-08-13,2023-08-13
OFF00062,OFF00258,co_offending,GANG014,2023-05-17,2023-08-13,2023-08-13
OFF00272,OFF00430,co_offending,GANG014,2023-05-17,2023-10-18,
OFF00272,OFF00166,co_offending,GANG014,2023-05-17,2023-10-18,
OFF00272,OFF00258,co_offending,GANG014,2023-05-17,2023-10-18,
OFF00430,OFF00166,co_offending,GANG014,2023-05-17,2023-10-18,
OFF00430,OFF00258,co_offending,GANG014,2023-05-17,2023-10-18,
OFF00166,OFF00258,co_offending,GANG014,2023-05-17,2023-10-18,
OFF00023,OFF00293,co_offending,GANG015,2023-12-09,2024-05-01,
OFF00023,OFF00189,co_offending,GANG015,2023-12-09,2024-01-09,2024-01-09
OFF00023,OFF00273,co_offending,GANG015,2023-12-09,2024-05-01,
OFF00023,OFF00238,co_offending,GANG015,2023-12-09,2024-05-01,
OFF00023,OFF00331,co_offending,GANG015,2023-12-09,2024-05-01,
OFF00023,OFF00321,co_offending,GANG015,2023-12-09,2024-05-01,
OFF00293,OFF00189,co_offending,GANG015,2023-12-09,2024-01-09,2024-01-09
OFF00293,OFF00273,co_offending,GANG015,2023-12-09,2024-05-01,
OFF00293,OFF00238,co_offending,GANG015,2023-12-09,2024-05-01,
OFF00293,OFF00331,co_offending,GANG015,2023-12-09,2024-05-01,
OFF00293,OFF00321,co_offending,GANG015,2023-12-09,2024-05-01,
OFF00189,OFF00273,co_offending,GANG015,2023-12-09,2024-01-09,2024-01-09
OFF00189,OFF00238,co_offending,GANG015,2023-12-09,2024-01-09,2024-01-09
OFF00189,OFF00331,co_offending,GANG015,2023-12-09,2024-01-09,2024-01-09
OFF00189,OFF00321,co_offending,GANG015,2023-12-09,2024-01-09,2024-01-09
OFF00273,OFF00238,co_offending,GANG015,2023-12-09,2024-05-01,
OFF00273,OFF00331,co_offending,GANG015,2023-12-09,2024-05-01,
OFF00273,OFF00321,co_offending,GANG015,2023-12-09,2024-05-01,
OFF00238,OFF00331,co_offending,GANG015,2023-12-09,2024-05-01,
OFF00238,OFF00321,co_offending,GANG015,2023-12-09,2024-05-01,
OFF00331,OFF00321,co_offending,GANG015,2023-12-09,2024-05-01,
OFF00552,OFF00283,co_offending,GANG016,2024-09-11,2025-06-28,
OFF00552,OFF00426,co_offending,GANG016,2024-09-11,2025-06-28,
OFF00552,OFF00071,co_offending,GANG016,2024-09-11,2025-06-28,
OFF00552,OFF00314,co_offending,GANG016,2024-09-11,2025-06-28,
OFF00552,OFF00043,co_offending,GANG016,2024-09-11,2025-02-03,2025-02-03
OFF00552,OFF00078,co_offending,GANG016,2024-09-11,2025-06-28,
OFF00552,OFF00439,co_offending,GANG016,2024-09-11,2025-02-03,2025-02-03
OFF00283,OFF00426,co_offending,GANG016,2024-09-11,2025-06-28,
OFF00283,OFF00071,co_offending,GANG016,2024-09-11,2025-06-28,
OFF00283,OFF00314,co_offending,GANG016,2024-09-11,2025-06-28,
OFF00283,OFF00043,co_offending,GANG016,2024-09-11,2025-02-03,2025-02-03
OFF00283,OFF00078,co_offending,GANG016,2024-09-11,2025-06-28,
OFF00283,OFF00439,co_offending,GANG016,2024-09-11,2025-02-03,2025-02-03
OFF00426,OFF00071,co_offending,GANG016,2024-09-11,2025-06-28,
OFF00426,OFF00314,co_offending,GANG016,2024-09-11,2025-06-28,
OFF00426,OFF00043,co_offending,GANG016,2024-09-11,2025-02-03,2025-02-03
OFF00426,OFF00078,co_offending,GANG016,2024-09-11,2025-06-28,
OFF00426,OFF00439,co_offending,GANG016,2024-09-11,2025-02-03,2025-02-03
OFF00071,OFF00314,co_offending,GANG016,2024-09-11,2025-06-28,
OFF00071,OFF00043,co_offending,GANG016,2024-09-11,2025-02-03,2025-02-03
OFF00071,OFF00078,co_offending,GANG016,2024-09-11,2025-06-28,
OFF00071,OFF00439,co_offending,GANG016,2024-09-11,2025-02-03,2025-02-03
OFF00314,OFF00043,co_offending,GANG016,2024-09-11,2025-02-03,2025-02-03
OFF00314,OFF00078,co_offending,GANG016,2024-09-11,2025-06-28,
OFF00314,OFF00439,co_offending,GANG016,2024-09-11,2025-02-03,2025-02-03
OFF00043,OFF00078,co_offending,GANG016,2024-09-11,2025-02-03,2025-02-03
OFF00043,OFF00439,co_offending,GANG016,2024-09-11,2025-06-28,
OFF00078,OFF00439,co_offending,GANG016,2024-09-11,2025-02-03,2025-02-03
OFF00353,OFF00091,co_offending,GANG017,2024-01-30,2024-10-19,
OFF00353,OFF00403,co_offending,GANG017,2024-01-30,2024-10-19,
OFF00353,OFF00597,co_offending,GANG017,2024-01-30,2024-05-20,2024-05-20
OFF00353,OFF00253,co_offending,GANG017,2024-01-30,2024-10-19,
OFF00353,OFF00074,co_offending,GANG017,2024-01-30,2024-10-19,
OFF00353,OFF00096,co_offending,GANG017,2024-01-30,2024-10-19,
OFF00353,OFF00263,co_offending,GANG017,2024-01-30,2024-10-19,
OFF00091,OFF00403,co_offending,GANG017,2024-01-30,2024-10-19,
OFF00091,OFF00597,co_offending,GANG017,2024-01-30,2024-05-20,2024-05-20
OFF00091,OFF00253,co_offending,GANG017,2024-01-30,2024-10-19,
OFF00091,OFF00074,co_offending,GANG017,2024-01-30,2024-10-19,
OFF00091,OFF00096,co_offending,GANG017,2024-01-30,2024-10-19,
OFF00091,OFF00263,co_offending,GANG017,2024-01-30,2024-10-19,
OFF00403,OFF00597,co_offending,GANG017,2024-01-30,2024-05-20,2024-05-20
OFF00403,OFF00253,co_offending,GANG017,2024-01-30,2024-10-19,
OFF00403,OFF00074,co_offending,GANG017,2024-01-30,2024-10-19,
OFF00403,OFF00096,co_offending,GANG017,2024-01-30,2024-10-19,
OFF00403,OFF00263,co_offending,GANG017,2024-01-30,2024-10-19,
OFF00597,OFF00253,co_offending,GANG017,2024-01-30,2024-05-20,2024-05-20
OFF00597,OFF00074,co_offending,GANG017,2024-01-30,2024-05-20,2024-05-20
OFF00597,OFF00096,co_offending,GANG017,2024-01-30,2024-05-20,2024-05-20
OFF00597,OFF00263,co_offending,GANG017,2024-01-30,2024-05-20,2024-05-20
OFF00253,OFF00074,co_offending,GANG017,2024-01-30,2024-10-19,
OFF00253,OFF00096,co_offending,GANG017,2024-01-30,2024-10-19,
OFF00253,OFF00263,co_offending,GANG017,2024-01-30,2024-10-19,
OFF00074,OFF00096,co_offending,GANG017,2024-01-30,2024-10-19,
OFF00074,OFF00263,co_offending,GANG017,2024-01-30,2024-10-19,
OFF00096,OFF00263,co_offending,GANG017,2024-01-30,2024-10-19,
OFF00497,OFF00350,co_offending,GANG018,2024-09-28,2024-12-04,2024-12-04
OFF00497,OFF00286,co_offending,GANG018,2024-09-28,2024-12-04,2024-12-04
OFF00497,OFF00634,co_offending,GANG018,2024-09-28,2024-12-04,2024-12-04
OFF00497,OFF00452,co_offending,GANG018,2024-09-28,2024-12-04,2024-12-04
OFF00497,OFF00566,co_offending,GANG018,2024-09-28,2024-12-04,2024-12-04
OFF00350,OFF00286,co_offending,GANG018,2024-09-28,2025-05-15,
OFF00350,OFF00634,co_offending,GANG018,2024-09-28,2025-05-15,
OFF00350,OFF00452,co_offending,GANG018,2024-09-28,2025-05-15,
OFF00350,OFF00566,co_offending,GANG018,2024-09-28,2025-05-15,
OFF00286,OFF00634,co_offending,GANG018,2024-09-28,2025-05-15,
OFF00286,OFF00452,co_offending,GANG018,2024-09-28,2025-05-15,
OFF00286,OFF00566,co_offending,GANG018,2024-09-28,2025-05-15,
OFF00634,OFF00452,co_offending,GANG018,2024-09-28,2025-05-15,
OFF00634,OFF00566,co_offending,GANG018,2024-09-28,2025-05-15,
OFF00452,OFF00566,co_offending,GANG018,2024-09-28,2025-05-15,
OFF00155,OFF00515,co_offending,GANG019,2023-11-13,2024-08-31,
OFF00155,OFF00625,co_offending,GANG019,2023-11-13,2024-03-07,2024-03-07
OFF00155,OFF00521,co_offending,GANG019,2023-11-13,2024-08-31,
OFF00155,OFF00025,co_offending,GANG019,2023-11-13,2024-08-31,
OFF00155,OFF00303,co_offending,GANG019,2023-11-13,2024-08-31,
OFF00155,OFF00253,co_offending,GANG019,2023-11-13,2024-08-31,
OFF00515,OFF00625,co_offending,GANG019,2023-11-13,2024-03-07,2024-03-07
OFF00515,OFF00521,co_offending,GANG019,2023-11-13,2024-08-31,
OFF00515,OFF00025,co_offending,GANG019,2023-11-13,2024-08-31,
OFF00515,OFF00303,co_offending,GANG019,2023-11-13,2024-08-31,
OFF00515,OFF00253,co_offending,GANG019,2023-11-13,2024-08-31,
OFF00625,OFF00521,co_offending,GANG019,2023-11-13,2024-03-07,2024-03-07
OFF00625,OFF00025,co_offending,GANG019,2023-11-13,2024-03-07,2024-03-07
OFF00625,OFF00303,co_offending,GANG019,2023-11-13,2024-03-07,2024-03-07
OFF00625,OFF00253,co_offending,GANG019,2023-11-13,2024-03-07,2024-03-07
OFF00521,OFF00025,co_offending,GANG019,2023-11-13,2024-08-31,
OFF00521,OFF00303,co_offending,GANG019,2023-11-13,2024-08-31,
OFF00521,OFF00253,co_offending,GANG019,2023-11-13,2024-08-31,
OFF00025,OFF00303,co_offending,GANG019,2023-11-13,2024-08-31,
OFF00025,OFF00253,co_offending,GANG019,2023-11-13,2024-08-31,
OFF00303,OFF00253,co_offending,GANG019,2023-11-13,2024-08-31,
OFF00250,OFF00338,co_offending,GANG020,2025-06-06,2025-12-21,
OFF00250,OFF00371,co_offending,GANG020,2025-06-06,2025-12-21,
OFF00338,OFF00371,co_offending,GANG020,2025-06-06,2025-12-21,
OFF00489,OFF00299,co_offending,GANG021,2025-04-16,2025-07-23,
OFF00489,OFF00138,co_offending,GANG021,2025-04-16,2025-07-23,
OFF00489,OFF00230,co_offending,GANG021,2025-04-16,2025-07-23,
OFF00299,OFF00138,co_offending,GANG021,2025-04-16,2025-07-23,
OFF00299,OFF00230,co_offending,GANG021,2025-04-16,2025-07-23,
OFF00138,OFF00230,co_offending,GANG021,2025-04-16,2025-07-23,
OFF00058,OFF00236,co_offending,GANG022,2024-09-03,2025-03-03,
OFF00058,OFF00603,co_offending,GANG022,2024-09-03,2025-01-30,2025-01-30
OFF00058,OFF00347,co_offending,GANG022,2024-09-03,2025-03-03,
OFF00058,OFF00118,co_offending,GANG022,2024-09-03,2025-01-30,2025-01-30
OFF00058,OFF00572,co_offending,GANG022,2024-09-03,2025-03-03,
OFF00236,OFF00603,co_offending,GANG022,2024-09-03,2025-01-30,2025-01-30
OFF00236,OFF00347,co_offending,GANG022,2024-09-03,2025-03-03,
OFF00236,OFF00118,co_offending,GANG022,2024-09-03,2025-01-30,2025-01-30
OFF00236,OFF00572,co_offending,GANG022,2024-09-03,2025-03-03,
OFF00603,OFF00347,co_offending,GANG022,2024-09-03,2025-01-30,2025-01-30
OFF00603,OFF00118,co_offending,GANG022,2024-09-03,2025-03-03,
OFF00603,OFF00572,co_offending,GANG022,2024-09-03,2025-01-30,2025-01-30
OFF00347,OFF00118,co_offending,GANG022,2024-09-03,2025-01-30,2025-01-30
OFF00347,OFF00572,co_offending,GANG022,2024-09-03,2025-03-03,
OFF00118,OFF00572,co_offending,GANG022,2024-09-03,2025-01-30,2025-01-30
OFF00187,VIC01297,offender_victim,,2023-01-01,2023-01-01,
OFF00630,VIC00016,offender_victim,,2023-01-01,2023-01-01,
OFF00483,VIC00059,offender_victim,,2023-01-01,2023-01-01,
OFF00394,VIC01443,offender_victim,,2023-01-01,2023-01-01,
OFF00319,VIC00667,offender_victim,,2023-01-01,2023-01-01,
OFF00241,VIC00368,offender_victim,,2023-01-01,2023-01-01,
OFF00154,VIC02062,offender_victim,,2023-01-01,2023-01-01,
OFF00475,VIC01924,offender_victim,,2023-01-08,2023-01-08,
OFF00026,VIC01534,offender_victim,,2023-01-01,2023-01-01,
OFF00516,VIC00790,offender_victim,,2023-01-01,2023-01-01,
OFF00409,VIC00627,offender_victim,,2023-01-01,2023-01-01,
OFF00581,VIC00340,offender_victim,,2023-01-01,2023-01-01,
OFF00416,VIC01074,offender_victim,,2023-01-01,2023-01-01,
OFF00429,VIC00732,offender_victim,,2023-01-01,2023-01-01,
OFF00262,VIC02239,offender_victim,,2023-01-01,2023-01-01,
OFF00203,VIC00625,offender_victim,,2023-01-01,2023-01-01,
OFF00250,VIC00377,offender_victim,,2023-01-01,2023-01-01,
OFF00635,VIC00264,offender_victim,,2023-01-01,2023-01-01,
OFF00340,VIC00737,offender_victim,,2023-01-01,2023-01-01,
OFF00565,VIC00040,offender_victim,,2023-01-01,2023-01-01,
OFF00306,VIC00870,offender_victim,,2023-01-09,2023-01-09,
